/Users/xiaochoumao/Documents/github repo/摩尔庄园 5.5.0/fresh-port/01-cracked/Payload/MoleWorld.app/MoleWorld:
Indirect symbols for (__TEXT,__picsymbolstub4) 850 entries
address    index name
0x008849c0  1217 _pthread_attr_init
0x008849d0  1218 _pthread_attr_setdetachstate
0x008849e0  1219 _pthread_cond_destroy
0x008849f0  1220 _pthread_cond_init
0x00884a00  1221 _pthread_cond_signal
0x00884a10  1222 _pthread_cond_wait
0x00884a20  1223 _pthread_create
0x00884a30  1224 _pthread_join
0x00884a40  1225 _pthread_mach_thread_np
0x00884a50  1226 _pthread_main_np
0x00884a60  1227 _pthread_mutex_destroy
0x00884a70  1228 _pthread_mutex_init
0x00884a80  1229 _pthread_mutex_lock
0x00884a90  1230 _pthread_mutex_unlock
0x00884aa0  1231 _putchar
0x00884ab0  1232 _puts
0x00884ac0  1233 _qsort
0x00884ad0  1234 _raise
0x00884ae0  1235 _rand
0x00884af0  1236 _random
0x00884b00  1237 _read
0x00884b10  1238 _realloc
0x00884b20  1239 _reallocf
0x00884b30  1240 _recvfrom
0x00884b40  1241 _roundf
0x00884b50  1244 _send
0x00884b60  1245 _sendto
0x00884b70  1246 _setsockopt
0x00884b80  1247 _setxattr
0x00884b90  1248 _sigaction
0x00884ba0  1249 _sigaltstack
0x00884bb0  1250 _signal
0x00884bc0  1251 _sin
0x00884bd0  1252 _sinf
0x00884be0  1253 _sleep
0x00884bf0  1254 _socket
0x00884c00  1270 _srand
0x00884c10  1271 _srandom
0x00884c20  1272 _sscanf
0x00884c30  1273 _stat
0x00884c40  1274 _statfs
0x00884c50  1275 _strchr
0x00884c60  1276 _strcmp
0x00884c70  1277 _strcpy
0x00884c80  1278 _strcspn
0x00884c90  1279 _strdup
0x00884ca0  1280 _strerror
0x00884cb0  1281 _strlen
0x00884cc0  1282 _strncmp
0x00884cd0  1283 _strncpy
0x00884ce0  1284 _strnstr
0x00884cf0  1285 _strpbrk
0x00884d00  1286 _strsignal
0x00884d10  1287 _strstr
0x00884d20  1288 _strtod
0x00884d30  1289 _strtol
0x00884d40  1290 _strtoll
0x00884d50  1291 _strtoul
0x00884d60  1292 _strtoull
0x00884d70  1293 _sysctl
0x00884d80  1294 _sysctlbyname
0x00884d90  1295 _system
0x00884da0  1296 _tanf
0x00884db0  1297 _task_get_exception_ports
0x00884dc0  1298 _task_info
0x00884dd0  1299 _task_swap_exception_ports
0x00884de0  1300 _task_threads
0x00884df0  1301 _thread_get_exception_ports
0x00884e00  1302 _thread_get_state
0x00884e10  1303 _thread_info
0x00884e20  1304 _thread_resume
0x00884e30  1305 _thread_suspend
0x00884e40  1306 _thread_swap_exception_ports
0x00884e50  1307 _time
0x00884e60  1308 _uname
0x00884e70  1310 _unlink
0x00884e80  1311 _usleep
0x00884e90  1312 _utimes
0x00884ea0  1313 _vm_allocate
0x00884eb0  1314 _vm_deallocate
0x00884ec0  1315 _vm_map
0x00884ed0  1317 _vm_protect
0x00884ee0  1318 _vm_read_overwrite
0x00884ef0  1319 _vsnprintf
0x00884f00  1320 _write
0x00884f10   871 _class_addMethod
0x00884f20   872 _class_copyIvarList
0x00884f30   873 _class_copyMethodList
0x00884f40   874 _class_getClassMethod
0x00884f50   875 _class_getInstanceMethod
0x00884f60   876 _class_getInstanceSize
0x00884f70   877 _class_getInstanceVariable
0x00884f80   878 _class_getIvarLayout
0x00884f90   879 _class_getName
0x00884fa0   880 _class_getProperty
0x00884fb0   881 _class_getSuperclass
0x00884fc0   882 _class_replaceMethod
0x00884fd0  1042 _ivar_getName
0x00884fe0  1043 _ivar_getOffset
0x00884ff0  1165 _method_getImplementation
0x00885000  1166 _method_getName
0x00885010  1167 _method_getTypeEncoding
0x00885020  1169 _objc_autorelease
0x00885030  1170 _objc_autoreleasePoolPop
0x00885040  1171 _objc_autoreleasePoolPush
0x00885050  1172 _objc_autoreleaseReturnValue
0x00885060  1173 _objc_begin_catch
0x00885070  1174 _objc_copyStruct
0x00885080  1175 _objc_destroyWeak
0x00885090  1176 _objc_end_catch
0x008850a0  1177 _objc_enumerationMutation
0x008850b0  1178 _objc_exception_rethrow
0x008850c0  1179 _objc_exception_throw
0x008850d0  1180 _objc_getAssociatedObject
0x008850e0  1181 _objc_getClass
0x008850f0  1182 _objc_getClassList
